행정구역,2008년_계_0~4세,2009년_계_0~4세,2010년_계_0~4세,2011년_계_0~4세,2012년_계_0~4세,2013년_계_0~4세,2014년_계_0~4세,2015년_계_0~4세,2016년_계_0~4세,2017년_계_0~4세,2018년_계_0~4세,2019년_계_0~4세,2020년_계_0~4세,2021년_계_0~4세,2022년_계_0~4세,2023년_계_0~4세
대전광역시  (3000000000),"73,673","72,039","72,991","74,384","74,414","74,283","73,475","70,857","68,212","63,201","58,676","53,424","47,684","43,471","41,613","39,731"
대전광역시 동구 (3011000000),"11,715","11,658","11,783","12,241","12,253","11,992","11,224","10,378","9,468","8,472","7,805","7,027","6,227","5,734","5,363","5,013"
대전광역시 중구 (3014000000),"11,746","11,611","11,669","11,786","11,587","11,442","10,986","10,351","9,613","8,643","7,824","6,985","6,031","5,405","5,135","4,611"
대전광역시 서구 (3017000000),"23,185","22,439","22,499","22,775","22,627","22,920","22,758","22,071","21,697","20,203","19,002","17,729","15,788","14,266","13,553","12,374"
대전광역시 유성구 (3020000000),"16,888","16,880","17,735","18,375","18,769","18,949","19,855","20,104","20,079","19,397","18,317","16,673","15,018","13,767","13,450","13,915"
대전광역시 대덕구 (3023000000),"10,139","9,451","9,305","9,207","9,178","8,980","8,652","7,953","7,355","6,486","5,728","5,010","4,620","4,299","4,112","3,818"
