행정구역,2008년_계_0~4세,2009년_계_0~4세,2010년_계_0~4세,2011년_계_0~4세,2012년_계_0~4세,2013년_계_0~4세,2014년_계_0~4세,2015년_계_0~4세,2016년_계_0~4세,2017년_계_0~4세,2018년_계_0~4세,2019년_계_0~4세,2020년_계_0~4세,2021년_계_0~4세,2022년_계_0~4세,2023년_계_0~4세
울산광역시  (3100000000),"55,423","55,000","55,712","57,084","57,763","58,151","58,905","58,920","57,567","54,057","50,550","46,517","41,335","36,524","32,965","30,143"
울산광역시 중구 (3111000000),"9,516","9,107","9,258","9,287","9,371","9,670","10,484","11,201","10,871","10,081","9,005","7,709","6,690","5,790","5,089","5,112"
울산광역시 남구 (3114000000),"14,853","14,714","14,646","14,823","15,132","15,230","14,986","14,711","14,335","13,136","12,275","11,010","9,967","8,933","8,363","7,698"
울산광역시 동구 (3117000000),"8,989","8,983","9,022","9,620","10,253","10,805","10,730","10,433","10,374","9,423","8,395","7,105","6,078","5,121","4,392","4,059"
울산광역시 북구 (3120000000),"11,089","11,416","11,883","12,260","11,963","11,681","11,790","11,761","11,891","11,955","11,903","12,270","11,133","9,992","9,037","7,847"
울산광역시 울주군 (3171000000),"10,976","10,780","10,903","11,094","11,044","10,765","10,915","10,814","10,096","9,462","8,972","8,423","7,467","6,688","6,084","5,427"
