행정구역,2008년_계_0~4세,2009년_계_0~4세,2010년_계_0~4세,2011년_계_0~4세,2012년_계_0~4세,2013년_계_0~4세,2014년_계_0~4세,2015년_계_0~4세,2016년_계_0~4세,2017년_계_0~4세,2018년_계_0~4세,2019년_계_0~4세,2020년_계_0~4세,2021년_계_0~4세,2022년_계_0~4세,2023년_계_0~4세
광주광역시  (2900000000),"70,830","70,512","71,779","72,463","71,734","70,889","70,060","68,003","65,365","61,273","57,971","53,932","48,770","45,349","42,499","38,916"
광주광역시 동구 (2911000000),"3,467","3,135","3,122","3,448","3,596","3,681","3,664","3,613","3,256","3,063","3,013","3,167","3,327","3,354","3,569","3,354"
광주광역시 서구 (2914000000),"14,916","13,912","13,780","14,974","14,523","14,053","13,297","12,428","12,403","11,616","10,681","9,800","8,721","7,815","7,209","6,456"
광주광역시 남구 (2915500000),"7,979","8,196","8,459","8,763","8,741","8,544","8,927","8,984","8,603","8,172","7,675","7,440","6,588","6,354","5,782","5,288"
광주광역시 북구 (2917000000),"23,304","22,380","21,758","19,836","19,442","19,359","19,515","19,445","18,546","17,593","17,204","15,572","14,182","13,325","12,651","11,711"
광주광역시 광산구 (2920000000),"21,164","22,889","24,660","25,442","25,432","25,252","24,657","23,533","22,557","20,829","19,398","17,953","15,952","14,501","13,288","12,107"
